State,Type,Name,Office,Party,Incumbent,cm_url
Georgia,State,Carlton Mahone,Georgia House of Representatives District 137,Democratic,N,https://www.linkedin.com/in/andrea-mahone-58b77136
Georgia,State,Rebekah Moore,Georgia House of Representatives District 167,Democratic,N,https://www.linkedin.com/in/mooreforgeorgia
Georgia,State,John Ellington,Georgia Supreme Court,Nonpartisan,Y,https://www.linkedin.com/in/mjp342
Georgia,State,John Barrow,Georgia Supreme Court,Nonpartisan,N,https://www.linkedin.com/in/chasetgoodwin
Georgia,State,Jeffrey A. Watkins,Georgia Court of Appeals,Nonpartisan,Y,https://www.linkedin.com/in/judgeanneelizabethbarnes
Hawaii,Local,Rick Blangiardi,Mayor of Honolulu,Nonpartisan,Y,https://www.linkedin.com/in/rick-blangiardi-23104521
Idaho,Federal,Richard Grayson,U.S. House Idaho District 2,Democratic,N,https://www.linkedin.com/in/rianajevne
Idaho,State,Adam Chapman,Idaho State Senate District 5,Democratic,N,https://www.linkedin.com/in/adamwchapman
Idaho,State,Julia Parker,Idaho State Senate District 6,Democratic,N,https://www.linkedin.com/in/julia-parker-2a31b9200
Idaho,State,Letishia Silva,Idaho State Senate District 10,Democratic,N,https://www.linkedin.com/in/marisa-silva-256552121
Idaho,State,Paul Morgan,Idaho State Senate District 23,Democratic,N,https://www.linkedin.com/in/morgan-p-17a688135
Idaho,State,Edward Easterling,Idaho State Senate District 24,Democratic,N,https://www.linkedin.com/in/edward-easterling-636278105
Idaho,State,Russ Matter,Idaho State Senate District 28,Democratic,N,https://www.linkedin.com/in/rick-just-465b7a14
Idaho,State,Karen Keith,Idaho State Senate District 30,Democratic,N,https://www.linkedin.com/in/karyn-keith-cap-om-b402a727
Idaho,State,Marsha Craner,Idaho State Senate District 34,Democratic,N,https://www.linkedin.com/in/marsha-craner-05186254
Idaho,State,Amber Kuhn,Idaho House of Representatives District 1A,Democratic,N,https://www.linkedin.com/in/amberkuhn
Idaho,State,Karen Matthee,Idaho House of Representatives District 1A,Democratic,N,https://www.linkedin.com/in/matthew-hogenmiller-a2160b134
Idaho,State,Angela Chandler,Idaho House of Representatives District 4A,Democratic,N,https://www.linkedin.com/in/angela-chandler-3519b043
Idaho,State,Anthony Porto,Idaho House of Representatives District 11A,Democratic,N,https://www.linkedin.com/in/createdbyjeff
Idaho,State,Marisela Pesina,Idaho House of Representatives District 11B,Democratic,N,https://www.linkedin.com/in/julian-arreguin-vega-351313207
Idaho,State,Jon Chu,Idaho House of Representatives District 16B,Democratic,N,https://www.linkedin.com/in/joncchu
Idaho,State,Monica Church,Idaho House of Representatives District 19A,Democratic,N,https://www.linkedin.com/in/shelbyscottid
Idaho,State,Don Harrington,Idaho House of Representatives District 23A,Democratic,N,https://www.linkedin.com/in/don-harrington-6424b020
Idaho,State,Chris Hansen,Idaho House of Representatives District 26B,Democratic,N,https://www.linkedin.com/in/christopherjameshansen
Idaho,State,Damian Rodriguez,Idaho House of Representatives District 27A,Democratic,N,https://www.linkedin.com/in/dcrodriguez
Idaho,State,Maggie Shaw,Idaho House of Representatives District 35B,Democratic,N,https://www.linkedin.com/in/maggie-shaw
Illinois,Federal,Brad Schneider,U.S. House Illinois District 10,Democratic,Y,https://www.linkedin.com/in/jake-kaplan-41a08678
Illinois,Federal,Bill Foster,U.S. House Illinois District 11,Democratic,Y,https://www.linkedin.com/in/alex-salisbury-20555a16a
Illinois,Federal,Brian Roberts,U.S. House Illinois District 12,Democratic,N,https://www.linkedin.com/in/brian-roberts-86b3a0168
Illinois,Federal,Lauren Underwood,U.S. House Illinois District 14,Democratic,Y,https://www.linkedin.com/in/kirsten-west-hartman-64b31638
Illinois,Federal,Eric Sorensen,U.S. House Illinois District 17,Democratic,Y,https://www.linkedin.com/in/joe-goldberg-686405129
Illinois,State,Robert Martwick,Illinois State Senate District 10,Democratic,Y,https://www.linkedin.com/in/clemp12
Illinois,State,Robert Peters,Illinois State Senate District 13,Democratic,Y,https://www.linkedin.com/in/maya-rodriguez-077610110
Illinois,State,Michael Hastings,Illinois State Senate District 19,Democratic,Y,https://www.linkedin.com/in/kevin-daly-5213b757
Illinois,State,Yolonda Morris,Illinois House of Representatives District 9,Democratic,Y,https://www.linkedin.com/in/yolanda-morris-36677320
Illinois,State,Kevin Olickal,Illinois House of Representatives District 16,Democratic,Y,https://www.linkedin.com/in/tirthcpatel
Illinois,State,Curtis Tarver II,Illinois House of Representatives District 25,Democratic,Y,https://www.linkedin.com/in/richard-o-945a21b6
Illinois,State,Robert Rita,Illinois House of Representatives District 28,Democratic,Y,https://www.linkedin.com/in/mary-carvlin-1835a218
Illinois,State,William Davis,Illinois House of Representatives District 30,Democratic,Y,https://www.linkedin.com/in/alex-campbell-political-organizer
Illinois,State,Mary Gill,Illinois House of Representatives District 35,Democratic,Y,https://www.linkedin.com/in/megan-broderick-6a2650195
Illinois,State,Will Guzzardi,Illinois House of Representatives District 39,Democratic,Y,https://www.linkedin.com/in/petenelson
Illinois,State,Nabeela Syed,Illinois House of Representatives District 51,Democratic,Y,https://www.linkedin.com/in/megan-ferris-yerger-9517b7131
Illinois,State,Martin J. Moylan,Illinois House of Representatives District 55,Democratic,Y,https://www.linkedin.com/in/marty-moylan-639a0ab6
Illinois,State,David Simpson,Illinois House of Representatives District 74,Democratic,N,https://www.linkedin.com/in/david-simpson-bbba77223
Illinois,State,Jarrett Clem,Illinois House of Representatives District 104,Democratic,N,https://www.linkedin.com/in/jarrett-clem-11416910b
Illinois,State,Joy Cunningham,Illinois Supreme Court 1st District,Democratic,Y,https://www.linkedin.com/in/joy-cunningham-b4b98769
