State,Type,Name,Office,Party,Incumbent,fd_url
Georgia,State,June Krise,Georgia State Senate District 50,Democratic,N,https://www.linkedin.com/in/james-gordon-5390bb1a
Georgia,State,James Shade,Georgia House of Representatives District 22,Democratic,N,https://www.linkedin.com/in/christineinatlanta
Georgia,State,Randye Dugan,Georgia House of Representatives District 24,Democratic,N,https://www.linkedin.com/in/benjarrard
Georgia,State,Kim Floria,Georgia House of Representatives District 30,Democratic,N,https://www.linkedin.com/in/martin-hawley-7666042a
Georgia,State,Steven Lang,Georgia House of Representatives District 36,Democratic,N,https://www.linkedin.com/in/stevenlang
Georgia,State,Debra Shigley,Georgia House of Representatives District 47,Democratic,N,https://www.linkedin.com/in/debra-shigley-6aba412
Georgia,State,Phil Olaleye,Georgia House of Representatives District 59,Democratic,Y,https://www.linkedin.com/in/phillipolaleye
Georgia,State,Mekyah McQueen,Georgia House of Representatives District 61,Democratic,N,https://www.linkedin.com/in/meshamainor
Georgia,State,Robert Dawson,Georgia House of Representatives District 65,Democratic,N,https://www.linkedin.com/in/therobdawson
Georgia,State,Lydia Glaize,Georgia House of Representatives District 67,Democratic,Y,https://www.linkedin.com/in/lydia-glaize-214a9212b
Georgia,State,Cobie Lyrix Brown,Georgia House of Representatives District 69,Democratic,N,https://www.linkedin.com/in/veronica-brown-88b0ab15a
Georgia,State,Demetrius Douglas,Georgia House of Representatives District 78,Democratic,Y,https://www.linkedin.com/in/demetriuslove
Georgia,State,Mishael White,Georgia House of Representatives District 81,Democratic,N,https://www.linkedin.com/in/carolinempratt
Georgia,State,Anthony Dickson,Georgia House of Representatives District 82,Democratic,N,https://www.linkedin.com/in/anthony-dickson-mba-1a520b7
Georgia,State,Marcus Akins,Georgia House of Representatives District 91,Democratic,N,https://www.linkedin.com/in/marcus-akins-332a0217a
Georgia,State,Karen Bennett,Georgia House of Representatives District 94,Democratic,Y,https://www.linkedin.com/in/karenkbennettmba
Georgia,State,Regina Lewis-Ward,Georgia House of Representatives District 115,Democratic,Y,https://www.linkedin.com/in/regina-lewis-15287033
Georgia,State,Kay Turner,Georgia House of Representatives District 125,Democratic,N,https://www.linkedin.com/in/kay-turner-5933594
Georgia,State,Carlton Mahone,Georgia House of Representatives District 137,Democratic,N,https://www.linkedin.com/in/troymahone
Georgia,State,Anissa Jones,Georgia House of Representatives District 143,Democratic,N,https://www.linkedin.com/in/anissa-jones-88630871
Georgia,State,Donald Druitt,Georgia House of Representatives District 145,Democratic,N,https://www.linkedin.com/in/donald-druitt-07765925
Georgia,State,Tangie Herring,Georgia House of Representatives District 145,Democratic,N,https://www.linkedin.com/in/tinaherring
Georgia,State,Patty Stinson,Georgia House of Representatives District 150,Democratic,Y,https://www.linkedin.com/in/pattistinson
Georgia,State,Joshua Anthony,Georgia House of Representatives District 153,Democratic,N,https://www.linkedin.com/in/joshua-anthony-2375b3206
Georgia,State,Tracy Taylor,Georgia House of Representatives District 153,Democratic,N,https://www.linkedin.com/in/tracy-taylor-65631212
Georgia,State,Madeline Smith,Georgia House of Representatives District 158,Democratic,N,https://www.linkedin.com/in/madelineksmith
Georgia,State,Anne Westbrook,Georgia House of Representatives District 163,Democratic,Y,https://www.linkedin.com/in/anne-westbrook-a57146150
Georgia,State,Henry Covington,Georgia House of Representatives District 168,Democratic,N,https://www.linkedin.com/in/michelehenry
Georgia,State,Theresa Rewis,Georgia House of Representatives District 169,Democratic,N,https://www.linkedin.com/in/theresa-stanford-01842a34
Georgia,State,Theresa Thomas,Georgia House of Representatives District 173,Democratic,N,https://www.linkedin.com/in/tftrealty
Georgia,State,Jeffrey A. Watkins,Georgia Court of Appeals,Nonpartisan,Y,https://www.linkedin.com/in/jeffreywatkins
Georgia,State,Ben Land,Georgia Court of Appeals,Nonpartisan,Y,https://www.linkedin.com/in/ben-land
Georgia,State,Jeff Davis,Georgia Court of Appeals,Nonpartisan,N,https://www.linkedin.com/in/jeff-davis-a923b61
Georgia,Local,Ali Carter,Fulton County Board of Commissioners District 6,Democratic,N,https://www.linkedin.com/in/alexandra-carter-626a001b
Hawaii,Federal,Mazie K. Hirono,U.S. Senate Hawaii,Democratic,Y,https://www.linkedin.com/in/csantan2
Idaho,State,Julia Parker,Idaho State Senate District 6,Democratic,N,https://www.linkedin.com/in/chrystal-shoup-b75017a
Idaho,State,Letishia Silva,Idaho State Senate District 10,Democratic,N,https://www.linkedin.com/in/letishia-silva-991621176
