,State,Type,Name,Office,Party,Status
131,Alabama,Local,Janine Hunt-HilliardIncumbent,Alabama 10th Judicial Circuit Place 18,Democratic,On the BallotGeneral
132,Alabama,Local,Alaric MayIncumbent,Alabama 10th Judicial Circuit Place 27,Democratic,On the BallotGeneral
133,Alabama,Local,Pamela Wilson CousinsIncumbent,Jefferson County District Court Place 3,Democratic,On the BallotPrimary Runoff
134,Alabama,Local,Jacquelyn Grant-Jones,Jefferson County District Court Place 3,Democratic,On the BallotPrimary Runoff
135,Alabama,Local,Lakitia Hall-Wright,Jefferson County District Court Place 3,Democratic,LostPrimary
136,Alabama,Local,Tanita Cain,Jefferson County District Court Place 6,Democratic,On the BallotGeneral
137,Alabama,Local,Alan SummersIncumbent,Jefferson County District Court Place 8,Democratic,On the BallotGeneral
138,Alabama,Local,Debra Weston-PickensIncumbent,Jefferson County District Court Place 9,Democratic,On the BallotGeneral
139,Alabama,Local,Jill Ganus,Jefferson County District Court Place 11,Republican,On the BallotGeneral
140,Alabama,Local,Chuantae Brown,Jefferson County District Court Place 11,Democratic,On the BallotGeneral
141,Alabama,Local,Hope Marshall,Jefferson County District Court Place 11,Democratic,LostPrimary
142,Alabama,Local,Stephanie Hunter,Jefferson County District Court Place 12,Democratic,On the BallotGeneral
143,Alabama,Local,Joel Blankenship,Jefferson County Probate Court,Republican,On the BallotGeneral
144,Alabama,Local,Jameria Moore,Jefferson County Probate Court,Democratic,On the BallotGeneral
145,Alabama,Local,John Amari,Jefferson County Probate Court,Republican,On the BallotGeneral
146,Alabama,Local,Yashiba Blanchard,Jefferson County Probate Court,Democratic,On the BallotPrimary Runoff
147,Alabama,Local,Yawanna McDonald,Jefferson County Probate Court,Democratic,On the BallotPrimary Runoff
148,Alabama,Local,Lee Loder,Jefferson County Probate Court,Democratic,LostPrimary
149,Alabama,Local,Joi Travis,Jefferson County Probate Court,Democratic,LostPrimary
150,Alabama,Local,Everett W. Wess,Jefferson County Probate Court,Democratic,LostPrimary
151,Alaska,Federal,Mary PeltolaIncumbent,U.S. House Alaska At-large District,Democratic,Candidacy DeclaredPrimary
152,Alaska,Federal,Nicholas Begich,U.S. House Alaska At-large District,Republican,Candidacy DeclaredPrimary
153,Alaska,Federal,Nancy Dahlstrom,U.S. House Alaska At-large District,Republican,Candidacy DeclaredPrimary
154,Alaska,Unknown,Jared Goecker,Alaska State Senate District L,Republican,Candidacy DeclaredPrimary
155,Alaska,Unknown,Robb Arnold,Alaska House of Representatives District 1,Republican,Candidacy DeclaredPrimary
156,Alaska,Unknown,Jeremy Bynum,Alaska House of Representatives District 1,Republican,Candidacy DeclaredPrimary
157,Alaska,Local,David BronsonIncumbent,Mayor of Anchorage,Nonpartisan,On the BallotGeneral
158,Alaska,Local,Darin Colbry,Mayor of Anchorage,Nonpartisan,On the BallotGeneral
159,Alaska,Local,Breck Craig,Mayor of Anchorage,Nonpartisan,On the BallotGeneral
160,Alaska,Local,Nick Danger,Mayor of Anchorage,Nonpartisan,On the BallotGeneral
161,Alaska,Local,Dustin Darden,Mayor of Anchorage,Nonpartisan,On the BallotGeneral
162,Alaska,Local,Jenny Di Grappa,Mayor of Anchorage,Nonpartisan,On the BallotGeneral
163,Alaska,Local,Phil Isley,Mayor of Anchorage,Nonpartisan,On the BallotGeneral
164,Alaska,Local,Suzanne LaFrance,Mayor of Anchorage,Nonpartisan,On the BallotGeneral
165,Alaska,Local,Bill Popp,Mayor of Anchorage,Nonpartisan,On the BallotGeneral
166,Alaska,Local,Chris Tuck,Mayor of Anchorage,Nonpartisan,On the BallotGeneral
167,Alaska,Local,Mark Littlefield,Anchorage Assembly District 2 Seat A(Special election),Nonpartisan,On the BallotGeneral
168,Alaska,Local,Bill EnnisIncumbent,Bear Valley LRSA Seat C,Nonpartisan,On the BallotGeneral
169,Alaska,Local,Robert Schoff,Birchtree-Elmore LRSA Seat B,Nonpartisan,On the Ballot(Write-in)General
170,Alaska,Local,Luke Sherman,Birchtree-Elmore LRSA Seat B,Nonpartisan,On the BallotGeneral
171,Alaska,Local,Kelsie Sullivan,Chugiak Fire Service Area Seat B,Nonpartisan,On the Ballot(Write-in)General
172,Alaska,Local,Jennifer WingardIncumbent,Girdwood Valley Service Area Seat A,Nonpartisan,On the BallotGeneral
173,Alaska,Local,Brian Burnett,Girdwood Valley Service Area Seat B,Nonpartisan,On the BallotGeneral
174,Alaska,Local,Joseph ConnollyIncumbent,Glen Alps Service Area Seat E,Nonpartisan,On the BallotGeneral
175,Alaska,Local,John LauIncumbent,Lakehill LRSA Seat B,Nonpartisan,On the Ballot(Write-in)General
176,Alaska,Local,Garrett Harvey,Mt. Park-Robin Hill RRSA Seat A,Nonpartisan,On the Ballot(Write-in)General
177,Alaska,Local,Thomas BasslerIncumbent,Mt. Park-Robin Hill RRSA Seat B,Nonpartisan,On the BallotGeneral
178,Alaska,Local,Heather Percy,Mt. Park Estates LRSA Seat A,Nonpartisan,On the BallotGeneral
179,Alaska,Local,David LippsIncumbent,Rabbit Creek View and Rabbit Creek Heights LRSA Seat A,Nonpartisan,On the BallotGeneral
180,Alaska,Local,Shawn DooleyIncumbent,SRW Homeowners' LRSA Seat A,Nonpartisan,On the Ballot(Write-in)General
181,Alaska,Local,Eric JohnsonIncumbent,Section 6-Campbell Airstrip LRSA Seat B,Nonpartisan,On the BallotGeneral
182,Alaska,Local,Jack WalkerIncumbent,Section 6-Campbell Airstrip LRSA Seat C,Nonpartisan,On the BallotGeneral
183,Alaska,Local,Joseph KurtakIncumbent,Skyranch Estates LRSA Seat A,Nonpartisan,On the Ballot(Write-in)General
184,Alaska,Local,Tim CulhaneIncumbent,South Goldenview RRSA Seat B,Nonpartisan,On the BallotGeneral
185,Alaska,Local,Marty LemonIncumbent,South Goldenview RRSA Seat C,Nonpartisan,On the BallotGeneral
186,Alaska,Local,Tony WinsorIncumbent,Talus West LRSA Seat B,Nonpartisan,On the BallotGeneral
187,Alaska,Local,Pamela GiammalvaIncumbent,Totem LRSA Seat C,Nonpartisan,On the BallotGeneral
188,Alaska,Local,Patrice Higgins,Totem LRSA Seat C,Nonpartisan,On the BallotGeneral
189,Alaska,Local,Jim CottrellIncumbent,Upper Grover LRSA Seat A,Nonpartisan,On the BallotGeneral
190,Alaska,Local,Drew Loeffler,Valli Vue LRSA Seat A,Nonpartisan,On the BallotGeneral
191,Alaska,Local,Diane Sallee,Valli Vue LRSA Seat D,Nonpartisan,On the BallotGeneral
192,Alaska,Local,Pat HigginsIncumbent,Anchorage School District Board of Education Seat E,Nonpartisan,On the BallotGeneral
193,Alaska,Local,Kay Schuster,Anchorage School District Board of Education Seat E,Nonpartisan,On the BallotGeneral
194,Alaska,Local,Dora WilsonIncumbent,Anchorage School District Board of Education Seat F,Nonpartisan,On the BallotGeneral
195,Alaska,Local,Angela Frank,Anchorage School District Board of Education Seat F,Nonpartisan,On the BallotGeneral
196,Alaska,Local,Carl JacobsIncumbent,Anchorage School District Board of Education Seat G,Nonpartisan,On the BallotGeneral
197,Alaska,Local,Chelsea Pohland,Anchorage School District Board of Education Seat G,Nonpartisan,On the BallotGeneral
198,Alaska,Local,Kristy Hoffman,Homestead Service Area Seat C,Nonpartisan,On the BallotGeneral
199,Arizona,Federal,Christopher Berschauer,U.S. Senate Arizona,Republican,Candidacy Declared(unofficially withdrew)Primary
200,Arizona,Federal,Leonard Fulcher,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary
201,Arizona,Federal,Kari Lake,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary
202,Arizona,Federal,Mark Lamb,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary
203,Arizona,Federal,Connie Moreno,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary
204,Arizona,Federal,Elizabeth Reye,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary
205,Arizona,Federal,Robert Walker,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary
206,Arizona,Federal,Alan White,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary
207,Arizona,Federal,Brian Wright,U.S. Senate Arizona,Republican,Candidacy DeclaredPrimary
208,Arizona,Federal,Ruben Gallego,U.S. Senate Arizona,Democratic,Candidacy DeclaredPrimary
209,Arizona,Federal,Alexander Keller,U.S. Senate Arizona,Democratic,Candidacy DeclaredPrimary
210,Arizona,Federal,Mike Norton,U.S. Senate Arizona,Green,Candidacy DeclaredGeneral
211,Arizona,Federal,Sarah Williams,U.S. Senate Arizona,Libertarian,Candidacy DeclaredPrimary
212,Arizona,Federal,Richard Grayson,U.S. Senate Arizona,No Party Affiliation,Candidacy DeclaredGeneral
213,Arizona,Federal,David SchweikertIncumbent,U.S. House Arizona District 1,Republican,Candidacy DeclaredPrimary
214,Arizona,Federal,Paul Burton,U.S. House Arizona District 1,Republican,Candidacy DeclaredPrimary
215,Arizona,Federal,Kimberly George,U.S. House Arizona District 1,Republican,Candidacy DeclaredPrimary
216,Arizona,Federal,Reina Patocs,U.S. House Arizona District 1,Republican,Candidacy DeclaredPrimary
217,Arizona,Federal,Andrei Cherny,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary
218,Arizona,Federal,Marlene Galan-Woods,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary
219,Arizona,Federal,Robert Glasgow,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary
220,Arizona,Federal,Andrew Horne,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary
221,Arizona,Federal,Kurt Kroemer,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary
222,Arizona,Federal,Melissa Lamore,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary
223,Arizona,Federal,Cody Newman,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary
224,Arizona,Federal,Conor O'Callaghan,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary
225,Arizona,Federal,Amish Shah,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary
226,Arizona,Federal,John Williamson,U.S. House Arizona District 1,Democratic,Candidacy DeclaredPrimary
227,Arizona,Federal,Bryce Beckstrom,U.S. House Arizona District 1,Independent,Candidacy DeclaredGeneral
228,Arizona,Federal,Sarah Wharton,U.S. House Arizona District 1,Independent,Candidacy DeclaredGeneral
